relative_path,category,doi,doi_source,is_oa,oa_status,best_free_url,notes
Literature/IATTC/SAC-16-09_Characterizing-and-classifying-longline-fleets-in-the-IATTC.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-16-INF-B_Longline-observer-data-reporting.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAC-16-INF-U_Joint-longline-indices.pdf,rfmo_public,,none,,,,
Literature/IATTC/SAR-04_Methods-for-standardizing-catch-per-unit-effort-(CPUE).pdf,rfmo_public,,none,,,,
Literature/IATTC/SAR-07-07_Longline-catch-per-unit-of-effort-(CPUE)-standardization.pdf,rfmo_public,,none,,,,
Literature/IATTC/Spatio-temporal_modelling_IATTC.pdf,uncertain,,none,,,,"IATTC background note titled 'Spatio-temporal modelling at the IATTC'. No document number, no date, no author list, no DOI, so the issuing page cannot be identified from the file. MANUAL CHECK: locate on iattc.org or substitute a numbered IATTC document."
"Literature/IATTC/Vol-16-No-2-1974-SHINGU,-CHIOMI,-PATRICK-K-TOMLINSON,-and-CLIFFORD-L-PETERSON_A-review-of-the-Japanese-longline-fishery-for-tunas-and-billfishes-in-the-EPO,-1967-1970.pdf",rfmo_public,,none,,,,
"Literature/IATTC/Vol-19-No-1-1987-MIYABE,-NAOZUMI,-and-WILLIAM-H-BAYLIFF_A-review-of-the-Japanese-longline-fishery-for-tunas-and-billfishes-in-the-EPO,-1971-1980.pdf",rfmo_public,,none,,,,
"Literature/IATTC/Vol-20-No-5-1992-NAKANO,-HIDEKI,-and-WILLIAM-H-BAYLIFF_A-review-of-the-Japanese-longline-fishery-for-tunas-and-billfishes-in-the-eastern-Pacific-Ocean,-1981-1987.pdf",rfmo_public,,none,,,,
"Literature/IATTC/Vol-21-No-6-1999-UOSAKI,-KOJI,-and-WILLIAM-H-BAYLIFF_A-review-of-the-Japanese-longline-fishery-for-tunas-and-billfishes-in-the-eastern-Pacific-Ocean,-1988-1992.pdf",rfmo_public,,none,,,,
"Literature/IATTC/Vol-22-No-4-2003-OKAMOTO,-HIROAKI,-and-WILLIAM-H-BAYLIFF_A-review-of-the-Japanese-longline-fishery-for-tunas-and-billfishes-in-the-eastern-Pacific-Ocean,-1993-1997.pdf",rfmo_public,,none,,,,
"Literature/IATTC/Vol-24-No-1-2008-MATSUMOTO,-TAKAYUKI,-and-WILLIAM-H-BAYLIFF_A-review-of-the-Japanese-longline-fishery-for-tunas-and-billfishes-in-the-eastern-Pacific-Ocean,-1998-2003.pdf",rfmo_public,,none,,,,
Literature/IATTC/YFT-02-PRES_Longline-index-of-abundance-and-length-frequency-for-yellowfin-tuna-in-the-eastern-Pacific-Ocean.pdf,rfmo_public,,none,,,,
Literature/ICCAT/ALB/ALB_SA_ENG.pdf,rfmo_public,,none,,,,"Report of the 2023 ICCAT Atlantic Albacore Stock Assessment Meeting (incl. MSE), hybrid, Madrid, 26-29 June 2023. ICCAT SCRS meeting report."
Literature/ICCAT/ALB/Lauretta 2023 ALB USA CV080030145.pdf,rfmo_public,,none,,,,
Literature/ICCAT/ALB/Matsumoto 2023 ALB JP CV080030070.pdf,rfmo_public,,none,,,,
Literature/ICCAT/ALB/Matsumoto et al 2023 ALB JP CV080030083.pdf,rfmo_public,,none,,,,
Literature/ICCAT/ALB/Su et al 2023 ALB TWN CV080030134.pdf,rfmo_public,,none,,,,
Literature/ICCAT/BET/Hoyle et al 2019 BET joint CV075072033.pdf,rfmo_public,,none,,,,
Literature/ICCAT/BET/ICCAT 2025 Data prep meeting report for bigeye CV082050005.pdf,rfmo_public,,none,,,,"Collect. Vol. Sci. Pap. ICCAT, 82(5), SCRS/2025/005: 1-96 (2025)."
Literature/ICCAT/BET/ICCAT 2025 Report of bigeye stock assessment meeting CV082050011.pdf,rfmo_public,,none,,,,"Collect. Vol. Sci. Pap. ICCAT, 82(5), SCRS/2025/011: 1-87 (2025)."
Literature/ICCAT/BET/Matsumoto et al 2019 BET JP CV075072098.pdf,rfmo_public,,none,,,,
Literature/ICCAT/BET/Matsumoto et al 2025 BET joint SCRS_2025_084.pdf,rfmo_public,,none,,,,
Literature/ICCAT/BET/Su & Sung 2025 Chinese Taipei longline CPUE for bigeye CV082050089.pdf,rfmo_public,,none,,,,"Collect. Vol. Sci. Pap. ICCAT, 82(5), SCRS/2025/089: 1-14 (2025)."
Literature/ICCAT/BET/Urtizberea et al 2025 SS assessment Atlantic bigeye tuna CV082050151.pdf,rfmo_public,,none,,,,"Collect. Vol. Sci. Pap. ICCAT, 82(5), SCRS/2025/151: 1-28 (2025)."
Literature/ICCAT/BFT/Lauretta et al 2020 BFT joint CV078030366.pdf,rfmo_public,,none,,,,
Literature/ICCAT/BFT/Tsukahara et al 2021 BFT JP CV078030454.pdf,rfmo_public,,none,,,,
Literature/ICCAT/BFT/Tsukahara et al 2022 BFT JP CV079030245.pdf,rfmo_public,,none,,,,
Literature/ICCAT/BUM/Lauretta et al 2024 BUM USA CV08101029.pdf,rfmo_public,,none,,,,
Literature/ICCAT/Lauretta 2021 SKJ US CV079010318.pdf,rfmo_public,,none,,,,
Literature/ICCAT/Lauretta 2025 White marlin & spearfish USA CV082030053.pdf,rfmo_public,,none,,,,
Literature/ICCAT/Sailfish/Arocha et al 2023 Sail Venezuela CV080080178.pdf,rfmo_public,,none,,,,
Literature/ICCAT/Sailfish/Coelho et al 2023 Sailfish Portugal CV080080204.pdf,rfmo_public,,none,,,,
Literature/ICCAT/Sailfish/Kai 2023 Sailfish JP CV080080284.pdf,rfmo_public,,none,,,,
Literature/ICCAT/Sailfish/Lauretta 2023 Sailfish USA CV080080244.pdf,rfmo_public,,none,,,,
Literature/ICCAT/Sailfish/Mourato et al 2023 Sailfish Brazil CV080080226.pdf,rfmo_public,,none,,,,Primary record. See the Litx/Exported Items 31108 row - the Zotero export files this PDF under the wrong title and DOI.
Literature/ICCAT/Sailfish/Ramos-Cartelle et al 2023 Sailfish Spain.pdf,rfmo_public,,none,,,,"Collect. Vol. Sci. Pap. ICCAT, 80(8): 359-370 (2023), SCRS/2023/079. Filename carries no CV number, so no filename rule matched it."
Literature/ICCAT/Sailfish/Su & Huang 2023 Sailfish TWN CV080080259.pdf,rfmo_public,,none,,,,
Literature/ICCAT/Satoh Matsumoto 2017 Exploration of historical target changes in the Atlantic for yellowfin CV073010290.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Anon 2022 SWO data prep.pdf,rfmo_public,,none,,,,"Collect. Vol. Sci. Pap. ICCAT, 79(2): 001-133 (2022), SCRS/2022/003."
Literature/ICCAT/SWO/Anon 2022 SWO stock assessment.pdf,rfmo_public,,none,,,,"Collect. Vol. Sci. Pap. ICCAT, 79(2): 392-564 (2022), SCRS/2022/012."
Literature/ICCAT/SWO/Coelho et al 2022 SWO Portugal CV079020265.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Gillespie et al 2022 SWO joint CV079020565.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Hanke & Gilespie 2022 SWO Canada CV079020186.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Ijima 2022 SWO JP CV079020156.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Ikkiss et al 2022 SWO Morocco CV079020325.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Lauretta 2022 SWO USA obs CV079020300.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Mourato et al 2022 SWO Brazil CV079020335.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Parker 2022 SWO SthAfrica CV079020211.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Su et al 2022 SWO TWN CV079020225.pdf,rfmo_public,,none,,,,
Literature/ICCAT/SWO/Su et al 2022 SWO TWN south CV079020235.pdf,rfmo_public,,none,,,,
Literature/ICCAT/YFT/Hoyle et al 2019 YFT joint CV076060241.pdf,rfmo_public,,none,,,,
Literature/ICCAT/YFT/Matsumoto et al 2020 YFT JP CV076060640.pdf,rfmo_public,,none,,,,
Literature/ICCAT/YFT/Matsumoto_et_al 2024 YFT joint GLM SCRS_2024_036_.pdf,rfmo_public,,none,,,,
Literature/ICCAT/YFT/Satoh & Matsumoto 2017 Compare YFT catch effort & size data between NRIFSF and ICCAT databases CV073010318.pdf,rfmo_public,,none,,,,"Collect. Vol. Sci. Pap. ICCAT, 73(1): 318-322 (2017), SCRS/2016/037."
Literature/ICCAT/YFT/Satoh et al 2024 YFT joint STM CV08102034.pdf,rfmo_public,,none,,,,
Literature/ICCAT Longline Indices2.xlsx,excluded,,none,,,,Not a reference item (spreadsheet).
Literature/IOTC/IOTC-2015-WPTT17-INF01_-_Guidelines_for_CPUE_and_SA.pdf,rfmo_public,,none,,,,
Literature/IOTC/IOTC-2021-WPB19-11_Rev1.pdf,rfmo_public,,none,,,,
Literature/IOTC/IOTC-2021-WPTT23DP-INF04.pdf,rfmo_public,,none,,,,
Literature/IOTC/IOTC-2024-WPTT26DP-14_-_Yellowfin_Joint_longline_index.pdf,rfmo_public,,none,,,,
Literature/IOTC/IOTC-2024-WPTT26DP-15_-_Bigeye_Joint_longline_index.pdf,rfmo_public,,none,,,,
Literature/IOTC/IOTC-2025-SC28-12E-Yellowfin_CPUE.pdf,rfmo_public,,none,,,,
Literature/IOTC/IOTC-2025-WPEB21AS-26_mekaring_Ochi_etal.pdf,rfmo_public,,none,,,,Primary record for Ochi et al. 2025 (meka-ring); the Traplines/ copy and WGEB-03-RD-B are the same document.
Literature/IOTC/IOTC-2025-WPTmT09-09-Joint_CPUE_0.pdf,rfmo_public,,none,,,,
Literature/Lazaris et al 2025 Multiple gears and preferential sampling.pdf,journal,10.1016/j.fishres.2025.107305,pdf_metadata,TRUE,hybrid,https://doi.org/10.1016/j.fishres.2025.107305,Page 1 states: open access under the CC BY license. Unpaywall: Fisheries Research; host: publisher; licence: cc-by.
Literature/Traplines and meka-rings/CV08107064.pdf,duplicate,,none,,,,Duplicate of: Literature/Traplines and meka-rings/Garibaldi et al 2024 New challenge for assessing swordfish - use of innovative fishing gear.pdf
Literature/Traplines and meka-rings/Garibaldi et al 2024 New challenge for assessing swordfish - use of innovative fishing gear.pdf,rfmo_public,,none,,,,"NOT a journal article despite the brief. Page 1 reads: Collect. Vol. Sci. Pap. ICCAT, 81(7), SCRS/2024/064: 1-9 (2024). ICCAT Collective Volume paper, free from iccat.int. No DOI."
Literature/Traplines and meka-rings/Macias et al 2025 Spatiotemporal dbns and bycatch with longlines using traplines in the western mediterranean.pdf,rfmo_public,,none,,,,"NOT a journal article despite the brief. Page 1 reads: Collect. Vol. Sci. Pap. ICCAT, 82(6), SCRS/2025/098: 1-16 (2025). ICCAT Collective Volume paper, free from iccat.int. No DOI."
Literature/Traplines and meka-rings/Ochi et al 2025 Info about ring-shasped branchline meka-ring in pelagic longline fisheries.pdf,duplicate,,none,,,,Duplicate of: Literature/IOTC/IOTC-2025-WPEB21AS-26_mekaring_Ochi_etal.pdf
Literature/Traplines and meka-rings/Usui et al 2018 Itoman-type rings fishing method swordfish Japanese.pdf,uncertain,,none,,,,"Japanese-language original, Kanagawa Prefectural Fisheries Technology Center Research Report No. 9 (2018), accepted 2018-01-24. This is the source article for the 'translated.docx' the brief puts out of scope; it needs the same permission handling. Recommend excluding from the participant list."
Literature/Traplines and meka-rings/Usui et al 2018 Itoman-type rings fishing method swordfish translated.docx,excluded,,none,,,,Out of scope per the brief: translation of a copyrighted Japanese original; needs separate permission handling.
Literature/Traplines and meka-rings/WGEB-03-RD-B_Ring-shaped-branch-lines-(meka-ring)-in-pelagic-longline-fisheries.pdf,duplicate,,none,,,,Duplicate of: Literature/IOTC/IOTC-2025-WPEB21AS-26_mekaring_Ochi_etal.pdf
Literature/WCPFC_ISC/2024_ISC_PBFWG-1_05.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC24_PBF_1/2024_ISC_PBFWG-1_05.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/2024_ISC_PBFWG-1_07.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC24_PBF_1/2024_ISC_PBFWG-1_07.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/2024_ISC_PBFWG-1_08.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC24_PBF_1/2024_ISC_PBFWG-1_08.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/2024_ISC_PBFWG-2_06.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC24_PBF_2/2024_ISC_PBFWG-2_06.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC23_ALBWG-01_02.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC23_ALB_1/ISC23_ALBWG-01_02.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC23_ALBWG-01_03.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC23_ALB_1/ISC23_ALBWG-01_03.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC23_ALBWG-01_08.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC23_ALB_1/ISC23_ALBWG-01_08.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC23_PBF_2_07.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC23_PBF_2/ISC23_PBF_2_07.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC24-ALBWG-01_04.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC24_ALB_1/ISC24-ALBWG-01_04.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC24-ALBWG-01_06.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC24_ALB_1/ISC24-ALBWG-01_06.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC25-ALBWG-01_01.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC25_ALB_1/ISC25-ALBWG-01_01.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC25-ALBWG-01_02.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC25_ALB_1/ISC25-ALBWG-01_02.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC25-ALBWG-01_03.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC25_ALB_1/ISC25-ALBWG-01_03.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC25-ALBWG-01_04.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/ALB/ISC25_ALB_1/ISC25-ALBWG-01_04.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_2025_SHARKWG-1-01.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC25_SHARK_1/ISC_2025_SHARKWG-1-01.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_2025_SHARKWG-1-02.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC25_SHARK_1/ISC_2025_SHARKWG-1-02.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_2025_SHARKWG-1-03.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC25_SHARK_1/ISC_2025_SHARKWG-1-03.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_2025_SHARKWG-1-04.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC25_SHARK_1/ISC_2025_SHARKWG-1-04.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_2025_SHARKWG-1-05.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC25_SHARK_1/ISC_2025_SHARKWG-1-05.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_20_BILLWG-03_01.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC20_BILL_3/ISC_20_BILLWG-03_01.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_20_BILLWG-03_02.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC20_BILL_3/ISC_20_BILLWG-03_02.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_20_BILLWG-03_03.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC20_BILL_3/ISC_20_BILLWG-03_03.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_20_BILLWG-03_04.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/BILL/ISC20_BILL_3/ISC_20_BILLWG-03_04.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_21_PBFWG_2_01_Tsukahara.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC21_PBF_2/ISC_21_PBFWG_2_01_Tsukahara.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_21_PBFWG_2_02_Chang.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/PBF/ISC21_PBF_2/ISC_21_PBFWG_2_02_Chang.pdf,ISC working document; no do-not-cite notice found anywhere in the document.
Literature/WCPFC_ISC/ISC_21_SHARKWG_2_01.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC21_SHARK_2/ISC_21_SHARKWG_2_01.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_21_SHARKWG_2_02.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC21_SHARK_2/ISC_21_SHARKWG_2_02.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_21_SHARKWG_2_03.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC21_SHARK_2/ISC_21_SHARKWG_2_03.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_21_SHARKWG_2_14.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC21_SHARK_2/ISC_21_SHARKWG_2_14.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
Literature/WCPFC_ISC/ISC_21_SHARKWG_2_15.pdf,rfmo_verify,,none,,,https://isc.fra.go.jp/pdf/SHARK/ISC21_SHARK_2/ISC_21_SHARKWG_2_15.pdf,PAGE 1 NOTICE PRESENT: 'Working document submitted to the ISC ... Document not to be cited without author's permission.' Seek author permission before circulating.
